,Well ID,x,y,z
0,Dec-35,339385.01,4264212.99,1680.6
3,13-10,337709.02,4260660.0,1596.3
8,14-2,339393.0,4262171.96,1703.5
13,24-36,341221.02,4263743.01,1834.2
18,25-15,337873.02,4258706.96,1627.0
23,28-3,337980.01,4261383.04,1621.5
28,1-Mar,338594.96,4262043.98,1663.4
33,35-3,338165.01,4261915.97,1640.9
38,52-21,336906.02,4257739.01,1583.0
43,54-3,338607.0,4262195.95,1662.9
48,71-10,338913.04,4261094.04,864.4
52,72-16,337321.03,4259298.97,1595.1
57,82-33,337682.99,4264131.02,1577.6
62,1-Sep,336841.97,4260929.03,1576.6
67,Acord-1,330059.03,4265084.0,1318.8
72,Big Cedar Cove UU-76,339669.04,4258810.02,1774.6
77,EV-4115,339926.0,4253546.0,1786.1
79,GPC-1,331750.97,4253210.95,1427.3
83,GPC-14,334500.01,4258223.96,1491.0
87,GPC-15,334303.99,4258057.02,1488.4
91,GPC-2,333776.98,4253152.97,1504.0
96,GPC-3,335962.0,4253027.99,1598.1
101,GPC-4,336426.98,4254695.03,1599.0
103,GPC-5,338323.0,4254700.0,1695.1
105,GPC-6,332001.02,4255968.97,1437.8
109,GPC-7,340897.97,4258876.96,1925.3
111,GPC-8,340917.03,4264750.97,1822.9
116,GPC-9,341551.01,4269454.03,1818.5
119,McCullough-1,330055.02,4265022.02,1319.4
123,OH-1,335529.98,4259049.01,1515.5
128,OH-5,337664.01,4265502.95,1549.6
129,OH-7,341498.99,4262178.05,1759.5
134,OH-8,339280.96,4259015.06,1735.2
139,OH-4,336732.0,4264165.97,1536.7
144,PPC Drilling Ridgline,343320.99,4265079.99,2107.7
146,PPC NM Ridgline,343465.03,4261796.98,2037.1
148,PPC OB5,335652.99,4259050.05,1520.2
152,PPC WW2,332746.0,4259842.02,1425.9
157,PPC WW3,332636.99,4265601.99,1359.8
158,PPC WW4,333356.01,4265227.96,1380.1
159,PPC-2,343092.98,4264682.01,2170.7
161,PPC-6,340260.99,4254040.03,1857.9
163,RHS-07,337232.02,4259187.98,1589.8
165,RHS-121,335648.98,4255600.05,1563.9
169,RHS-14,335798.99,4264089.99,1490.8
173,RHS-15,338828.02,4259162.02,1694.2
174,RHS-16,336167.96,4266171.98,1468.0
175,RHS-170,335030.02,4270733.95,1359.7
177,RHS-188,338739.03,4263910.99,1633.7
178,RHS-189,340174.98,4265597.04,1797.5
183,RHS-196,335293.96,4255631.96,1551.7
187,RHS-199,336264.98,4259513.05,1553.1
189,RHS-336,337667.03,4264924.03,1560.1
190,TPC-10,334033.0,4259945.0,1460.4
195,TPC-11,337593.01,4261888.0,1618.7
196,TPC-12,334826.0,4262756.05,1461.2
201,TPC-14,335446.97,4264046.02,1475.2
205,TPC-15,338361.03,4259096.02,1666.0
206,TPC-4,332845.01,4259947.99,1425.7
211,TPC-5,336275.0,4259383.95,1553.3
213,TPC-6,339924.03,4261927.99,1727.3
218,TPC-7,337604.97,4258776.99,1608.7
223,TPC-9,337251.99,4256837.95,1623.4
227,UU-75-13,336106.0,4267274.03,1443.7
228,UU-75-1A,337752.96,4261867.01,1620.8
229,UU-75-1B,337592.96,4261535.96,1614.5
230,UU-76-1A,338436.97,4263657.06,1617.8
231,UUHF-3,341985.97,4264638.03,1900.5
233,UUTG-0,336632.04,4268692.03,1446.7
234,UUTG-1,338085.01,4268506.98,1509.5
235,UUTG-3,333920.99,4266715.95,1372.1
236,UUTG-5,340979.04,4268389.05,1676.5
239,UUTG-6,333698.99,4270118.0,1330.5
